Status	barcode	location	model	serial_number	manufacturer	source	Price	Due Date
OUT	002656	RS	Chromebook Plus 514	C23D7600	ACER	Amazon	350.00	2026-02-20
OUT	002657	RS	Chromebook Plus 514	C3747600	ACER	Amazon	350.00	2026-02-20
OUT	002658	RS	Chromebook Plus 514	B11B7600	ACER	Amazon	350.00	2026-02-20
OUT	002659	RS	Chromebook Plus 514	C3877600	ACER	Amazon	350.00	2026-02-20
OUT	002660	RS	Chromebook Plus 514	C4397600	ACER	Amazon	350.00	2026-02-20
OUT	002661	RS	Chromebook Plus 514	B0E97600	ACER	Amazon	350.00	2026-02-20
OUT	002662	RS	Chromebook Plus 514	C15E7600	ACER	Amazon	350.00	2026-02-20
IN	002663		Chromebook Plus 514	C2417600	ACER	Amazon	350.00	
IN	002664		Chromebook Plus 514	C1647600	ACER	Amazon	350.00	
OUT	002665		Chromebook Plus 514	B0BB7600	ACER	Amazon	350.00	2026-02-26
OUT	002666		Chromebook Plus 514	B0EB7600	ACER	Amazon	350.00	2026-02-26
OUT	002667	WRS	Chromebook Plus 514	C1567600	ACER	Amazon	350.00	2026-02-20
OUT	002668	WRS	Chromebook Plus 514	C30B7600	ACER	Amazon	350.00	2026-02-20
OUT	002211	RS	Chromebook	5CD118J7PM				2026-04-22
IN	002212	RS	Chromebook	5CD121SZLN				
IN	002213	RS	Chromebook	5CD118C164				
IN	002214	RS	Chromebook	5CD121XQLL				
IN	002215	RS	Chromebook	5CD118C10R				
OUT	002216	RS VP	Chromebook	5CD1124SB8				2025-09-11
OUT	002217	RS VP	Chromebook	5CD1124W46				2025-09-11
OUT	002218	RS VP	Chromebook	5CD1124SCK				2025-09-11
OUT	002219	RS	Chromebook	5CD1124WX1				2025-08-20
OUT	002220	RS	Chromebook	5CD1124SD8				2025-08-20
OUT	002221	RS VP	Chromebook	5CD121SZH8				2025-09-11
OUT	002222	RS VP	Chromebook	5CD118C16M				2025-09-11
OUT	002223	RS VP	Chromebook	5CD1124S1N				2025-09-11
OUT	002224	RS	Chromebook	5CD1124W67				2025-08-20
OUT	002225	RS	Chromebook	5CD1124W3W				2025-12-02
OUT	002226	RS	Chromebook	5CD121XQ9M				2026-02-12
